category,model_id,description,pipeline,modality,type,script_path,url
Advanced_NLP,allenai/unifiedqa-t5-large,Unified question answering across multiple domains,question-answering,Text/NLP,Neural/Deep,sunnysett_models/Advanced_NLP/allenai_unifiedqa_t5_large.py,https://huggingface.co/allenai/unifiedqa-t5-large
Advanced_NLP,facebook/blenderbot-400M-distill,Distilled conversational AI for customer service,text-generation,Text/NLP,Neural/Deep,sunnysett_models/Advanced_NLP/facebook_blenderbot_400M_distill.py,https://huggingface.co/facebook/blenderbot-400M-distill
Advanced_NLP,google/flan-t5-large,Instruction-tuned T5 for complex reasoning and task solving,text2text-generation,Text/NLP,Neural/Deep,sunnysett_models/Advanced_NLP/google_flan_t5_large.py,https://huggingface.co/google/flan-t5-large
Advanced_NLP,google/flan-t5-xl,Extra large instruction-tuned model for complex tasks,text2text-generation,Text/NLP,Neural/Deep,sunnysett_models/Advanced_NLP/google_flan_t5_xl.py,https://huggingface.co/google/flan-t5-xl
Advanced_NLP,microsoft/DialoGPT-large,Large conversational AI for complex customer support,text-generation,Text/NLP,Neural/Deep,sunnysett_models/Advanced_NLP/microsoft_DialoGPT_large.py,https://huggingface.co/microsoft/DialoGPT-large
Agents_Reasoning,allenai/unifiedqa-t5-large,Multi-step question answering and reasoning,question-answering,Text/NLP,Neural/Deep,sunnysett_models/Agents_Reasoning/allenai_unifiedqa_t5_large.py,https://huggingface.co/allenai/unifiedqa-t5-large
Agents_Reasoning,facebook/blenderbot-400M-distill,Multi-turn conversational AI,text-generation,Text/NLP,Neural/Deep,sunnysett_models/Agents_Reasoning/facebook_blenderbot_400M_distill.py,https://huggingface.co/facebook/blenderbot-400M-distill
Agents_Reasoning,google/flan-t5-large,Chain-of-thought reasoning and instruction following,text2text-generation,Text/NLP,Neural/Deep,sunnysett_models/Agents_Reasoning/google_flan_t5_large.py,https://huggingface.co/google/flan-t5-large
Agents_Reasoning,google/flan-t5-xl,Large-scale instruction following and reasoning,text2text-generation,Text/NLP,Neural/Deep,sunnysett_models/Agents_Reasoning/google_flan_t5_xl.py,https://huggingface.co/google/flan-t5-xl
Agents_Reasoning,microsoft/CodeGPT-small-py,Code generation with reasoning,text-generation,Text/NLP,Neural/Deep,sunnysett_models/Agents_Reasoning/microsoft_CodeGPT_small_py.py,https://huggingface.co/microsoft/CodeGPT-small-py
Agents_Reasoning,microsoft/DialoGPT-large,Conversational AI with reasoning capabilities,text-generation,Text/NLP,Neural/Deep,sunnysett_models/Agents_Reasoning/microsoft_DialoGPT_large.py,https://huggingface.co/microsoft/DialoGPT-large
Agriculture,facebook/detr-resnet-50,Automated plant counting and yield estimation,object-detection,Vision,Neural/Deep,sunnysett_models/Agriculture/facebook_detr_resnet_50.py,https://huggingface.co/facebook/detr-resnet-50
Agriculture,facebook/mask2former,Soil composition analysis and nutrient mapping,image-segmentation,Vision,Neural/Deep,sunnysett_models/Agriculture/facebook_mask2former.py,https://huggingface.co/facebook/mask2former
Agriculture,facebook/swin-base-patch4-window7-224,Crop damage assessment from weather events,image-classification,Vision,Neural/Deep,sunnysett_models/Agriculture/facebook_swin_base_patch4_window7_224.py,https://huggingface.co/facebook/swin-base-patch4-window7-224
