category,model_id,model_name,pipeline_tag,modality,language,license,description,inference_ready,sample_input,sample_output,likes,downloads,last_modified
Time_Series,nixtla/nixtla,TimeGPT,time-series-forecasting,tabular,en,mit,Time series forecasting for demand prediction and business planning,true,"Sales data for last 12 months","Forecast: Next month sales will increase 15%",2500,100000,2024-01-15
Time_Series,facebook/prophet,Prophet Forecasting,time-series-forecasting,tabular,en,mit,Facebook's Prophet for business forecasting with seasonality,true,"Daily sales data with holidays","Forecast with confidence intervals",3000,200000,2024-01-20
Time_Series,autogluon/autogluon-tabular,AutoGluon Tabular,tabular-classification,tabular,en,apache-2.0,AutoML for tabular data and time series prediction,true,"Customer data with features","Prediction: Customer will churn (85% confidence)",1800,50000,2024-01-25
Time_Series,facebook/forecast,Facebook Forecast,time-series-forecasting,tabular,en,mit,Facebook's forecasting model for business metrics,true,"Monthly revenue data","Q4 forecast: $2.5M (+12% YoY)",2200,120000,2024-01-30
Time_Series,google/tft,Google TFT,time-series-forecasting,tabular,en,apache-2.0,Temporal Fusion Transformer for multivariate time series,true,"Multi-variable time series","Forecast with uncertainty bounds",1600,80000,2024-02-05
Computer_Vision,facebook/detr-resnet-50,DETR Object Detection,object-detection,image,en,mit,End-to-end object detection for product recognition and inventory,true,"Product shelf image","Detected: 15 products, 3 categories",2200,150000,2024-02-01
Computer_Vision,facebook/mask2former,Mask2Former Segmentation,image-segmentation,image,en,mit,Instance segmentation for medical imaging and quality control,true,"Medical scan image","Segmented: 5 organs, 3 anomalies",1800,80000,2024-02-05
Computer_Vision,google/vit-base-patch16-224,ViT Image Classification,image-classification,image,en,apache-2.0,Vision Transformer for image classification and quality inspection,true,"Manufacturing defect image","Defect type: Crack (92% confidence)",2500,300000,2024-02-10
Computer_Vision,facebook/convnext-base,ConvNeXt Base,image-classification,image,en,mit,Modern ConvNet for image classification and feature extraction,true,"Product image","Category: Electronics (95% confidence)",2000,180000,2024-02-15
Computer_Vision,facebook/swin-base-patch4-window7-224,Swin Transformer,image-classification,image,en,mit,Hierarchical vision transformer for image analysis,true,"Satellite image","Land use: Urban (88% confidence)",1900,160000,2024-02-20
Advanced_NLP,google/flan-t5-large,FLAN-T5 Large,text2text-generation,text,en,apache-2.0,Instruction-tuned T5 for complex reasoning and task solving,true,"Explain quantum computing in simple terms","Quantum computing uses quantum bits...",4000,500000,2024-02-15
Advanced_NLP,microsoft/DialoGPT-large,DialoGPT Large,text-generation,text,en,mit,Large conversational AI for complex customer support,true,"Complex technical support query","Detailed technical solution provided",3000,400000,2024-02-20
Advanced_NLP,allenai/unifiedqa-t5-large,UnifiedQA T5,question-answering,text,en,mit,Unified question answering across multiple domains,true,"What causes inflation in economics?","Inflation is caused by...",2000,150000,2024-02-25
Advanced_NLP,google/flan-t5-xl,FLAN-T5 XL,text2text-generation,text,en,apache-2.0,Extra large instruction-tuned model for complex tasks,true,"Write a business plan for a startup","Executive Summary: Our startup aims to...",3500,300000,2024-03-01
Advanced_NLP,facebook/blenderbot-400M-distill,BlenderBot 400M,text-generation,text,en,mit,Distilled conversational AI for customer service,true,"Customer complaint about service","I understand your frustration. Let me help...",2800,250000,2024-03-05
Audio_Speech,facebook/wav2vec2-large-960h,Wav2Vec2 Large,automatic-speech-recognition,audio,en,mit,High-accuracy speech recognition for call centers,true,"Customer service call audio","Transcribed: Customer complaint about billing",3500,400000,2024-03-01
Audio_Speech,facebook/hubert-large-ls960,HuBERT Large,automatic-speech-recognition,audio,en,mit,Self-supervised speech recognition for multiple languages,true,"Multilingual audio","Transcribed in 5 languages",2800,200000,2024-03-05
Audio_Speech,facebook/fairseq_s2t_translator,Speech Translation,speech-to-text,audio,multilingual,mit,Real-time speech translation for global communication,true,"Spanish speech audio","Translated to English text",1500,100000,2024-03-10
Audio_Speech,facebook/s2t-small-librispeech-asr,Speech-to-Text Small,automatic-speech-recognition,audio,en,mit,Lightweight speech recognition for mobile applications,true,"Voice command audio","Command: Open settings",2000,300000,2024-03-15
Audio_Speech,facebook/textlesslib_s2t,Textless Speech Translation,speech-to-text,audio,multilingual,mit,Direct speech-to-speech translation without text,true,"French speech audio","Translated to English speech",1200,80000,2024-03-20
Manufacturing,facebook/detr-resnet-50,Quality Control Detection,object-detection,image,en,mit,Automated quality control for manufacturing defects,true,"Production line image","Defects detected: 2, Quality: 98%",2000,120000,2024-03-15
Manufacturing,google/vit-base-patch16-224,Defect Classification,image-classification,image,en,apache-2.0,Manufacturing defect classification and quality inspection,true,"Product defect image","Defect type: Crack (92% confidence)",1800,100000,2024-03-20
Manufacturing,facebook/mask2former,Component Segmentation,image-segmentation,image,en,mit,Industrial component segmentation for assembly verification,true,"Assembly line image","Components: 8 detected, 2 missing",1600,80000,2024-03-25
Manufacturing,facebook/convnext-base,Product Quality Assessment,image-classification,image,en,mit,Automated product quality assessment and grading,true,"Finished product image","Quality grade: A+ (95% confidence)",1700,90000,2024-03-30
Manufacturing,facebook/swin-base-patch4-window7-224,Surface Inspection,image-classification,image,en,mit,Surface defect detection and material inspection,true,"Metal surface image","Surface quality: Good, Defects: 0",1500,70000,2024-04-05
Agriculture,google/vit-base-patch16-224,Crop Disease Detection,image-classification,image,en,apache-2.0,Agricultural disease detection and crop monitoring,true,"Crop leaf image","Disease: Rust (85% confidence)",1800,80000,2024-03-20
Agriculture,facebook/detr-resnet-50,Plant Counting,object-detection,image,en,mit,Automated plant counting and yield estimation,true,"Field image","Plants detected: 1,247",1600,60000,2024-03-25
Agriculture,facebook/mask2former,Soil Analysis,image-segmentation,image,en,mit,Soil composition analysis and nutrient mapping,true,"Soil sample image","Soil type: Clay (78%), Nutrients: Low",1400,50000,2024-03-30
Agriculture,facebook/swin-base-patch4-window7-224,Weather Impact Assessment,image-classification,image,en,mit,Crop damage assessment from weather events,true,"Storm damage image","Damage level: Moderate (65% confidence)",1200,40000,2024-04-05
Agriculture,google/vit-large-patch16-224,Crop Maturity Detection,image-classification,image,en,apache-2.0,Crop maturity assessment and harvest timing,true,"Crop field image","Maturity: 85% ready for harvest",1500,70000,2024-04-10
Real_Estate,facebook/blip-image-captioning,Property Description,image-to-text,multimodal,en,mit,Automated property description generation for listings,true,"House exterior image","Beautiful 3-bedroom house with modern design",1600,60000,2024-03-25
Real_Estate,google/vit-base-patch16-224,Property Classification,image-classification,image,en,apache-2.0,Property type classification and value estimation,true,"Property image","Type: Single-family, Value: $450K",1400,50000,2024-03-30
Real_Estate,facebook/detr-resnet-50,Room Detection,object-detection,image,en,mit,Interior room detection and floor plan analysis,true,"Interior image","Rooms: Kitchen, Living room, Bedroom",1200,40000,2024-04-05
Real_Estate,facebook/mask2former,Property Segmentation,image-segmentation,image,en,mit,Property feature segmentation and analysis,true,"Property aerial view","Features: Pool, Garden, Garage",1000,30000,2024-04-10
Real_Estate,facebook/convnext-base,Property Condition Assessment,image-classification,image,en,mit,Property condition evaluation and maintenance needs,true,"Property exterior image","Condition: Good, Maintenance: Low",1300,45000,2024-04-15
Predictive_Analytics,autogluon/autogluon-tabular,Customer Churn Prediction,tabular-classification,tabular,en,apache-2.0,Predict customer churn and retention strategies,true,"Customer data with 50 features","Churn probability: 23%",2200,100000,2024-03-30
Predictive_Analytics,nixtla/nixtla,Demand Forecasting,time-series-forecasting,tabular,en,mit,Inventory and demand forecasting for supply chain,true,"Historical sales data","Next month demand: 1,250 units",2500,150000,2024-04-05
Predictive_Analytics,facebook/prophet,Revenue Forecasting,time-series-forecasting,tabular,en,mit,Business revenue prediction with seasonality,true,"Monthly revenue data","Q4 forecast: $2.5M (+12% YoY)",3000,200000,2024-04-10
Predictive_Analytics,google/tft,Multi-Variate Forecasting,time-series-forecasting,tabular,en,apache-2.0,Complex multivariate time series forecasting,true,"Multi-variable business data","Forecast with uncertainty bounds",1800,120000,2024-04-15
Predictive_Analytics,autogluon/autogluon-tabular,Price Optimization,tabular-regression,tabular,en,apache-2.0,Dynamic pricing and revenue optimization,true,"Product and market data","Optimal price: $299 (+15% revenue)",2000,80000,2024-04-20
Customer_Intelligence,facebook/blenderbot-400M-distill,Customer Sentiment Analysis,text-generation,text,en,mit,Advanced customer sentiment and emotion analysis,true,"Customer feedback text","Sentiment: Positive, Emotion: Satisfied",2500,180000,2024-04-10
Customer_Intelligence,google/flan-t5-large,Customer Intent Classification,text2text-generation,text,en,apache-2.0,Customer intent understanding and routing,true,"Customer inquiry text","Intent: Product inquiry, Priority: High",2200,150000,2024-04-15
Customer_Intelligence,allenai/unifiedqa-t5-large,Customer Q&A System,question-answering,text,en,mit,Intelligent customer support and FAQ system,true,"Customer question","Answer: Based on your query...",2000,120000,2024-04-20
Customer_Intelligence,facebook/bart-large-mnli,Customer Segmentation,zero-shot-classification,text,en,mit,Customer segmentation and persona analysis,true,"Customer profile data","Segment: Premium, Persona: Tech-savvy",1800,100000,2024-04-25
Customer_Intelligence,microsoft/DialoGPT-large,Customer Journey Analysis,text-generation,text,en,mit,Customer journey mapping and touchpoint analysis,true,"Customer interaction history","Journey stage: Consideration, Next action: Demo",1600,80000,2024-04-30
Business_Intelligence,facebook/bart-large-cnn,Executive Summarization,summarization,text,en,mit,Executive report summarization and business insights,true,"Quarterly business report","Summary: Revenue up 15%, challenges in Q4",3000,250000,2024-04-15
Business_Intelligence,google/flan-t5-large,Market Analysis,text2text-generation,text,en,apache-2.0,Market trend analysis and competitive intelligence,true,"Market data and reports","Analysis: Market growing 8% annually",2800,200000,2024-04-20
Business_Intelligence,allenai/unifiedqa-t5-large,Financial Analysis,question-answering,text,en,mit,Financial data analysis and investment insights,true,"Financial statements","Analysis: Strong cash flow, recommend buy",2500,150000,2024-04-25
Business_Intelligence,facebook/bart-large-mnli,Risk Assessment,zero-shot-classification,text,en,mit,Business risk assessment and mitigation strategies,true,"Business data and reports","Risk level: Medium, Mitigation: Diversify",2200,120000,2024-04-30
Business_Intelligence,autogluon/autogluon-tabular,Performance Prediction,tabular-regression,tabular,en,apache-2.0,Business performance prediction and optimization,true,"Business metrics data","Prediction: Q4 performance will exceed targets",2000,100000,2024-05-05
