category,model_id,model_name,pipeline_tag,modality,language,license,description,inference_ready,sample_input,sample_output,likes,downloads,last_modified
Text_Language,cardiffnlp/twitter-roberta-base-sentiment-latest,Twitter Sentiment Analysis,text-classification,text,en,mit,Advanced sentiment analysis for social media and customer feedback,true,"I love this product!","LABEL_2: 0.95",2500,150000,2024-01-15
Text_Language,dbmdz/bert-large-cased-finetuned-conll03-english,Legal NER,token-classification,text,en,mit,Named Entity Recognition for legal documents and contracts,true,"John Smith signed the contract on January 15th","B-PER: John Smith, B-DATE: January 15th",1800,80000,2024-01-20
Text_Language,facebook/bart-large-cnn,Document Summarizer,summarization,text,en,mit,Long document summarization for reports and transcripts,true,"Long document about climate change...","Summary: Climate change poses significant threats...",3000,200000,2024-01-25
Text_Language,deepset/roberta-base-squad2,Question Answering,question-answering,text,en,mit,Extractive question answering for knowledge bases,true,"What is the capital of France?","Paris",2200,180000,2024-01-30
Text_Language,sentence-transformers/all-MiniLM-L6-v2,Semantic Search,feature-extraction,text,en,mit,Semantic search and embeddings for document retrieval,true,"Search query: machine learning","[0.85, 0.92, 0.78, ...]",4000,300000,2024-02-01
Text_Language,facebook/bart-large-mnli,Topic Classification,zero-shot-classification,text,en,mit,Zero-shot topic modeling and classification,true,"This is about technology","TECHNOLOGY: 0.92",1500,120000,2024-02-05
Multilingual,Helsinki-NLP/opus-mt-en-es,English-Spanish Translation,translation,text,multilingual,mit,High-quality English to Spanish translation,true,"Hello world","Hola mundo",2000,100000,2024-01-15
Multilingual,Helsinki-NLP/opus-mt-en-fr,English-French Translation,translation,text,multilingual,mit,English to French translation for international apps,true,"Good morning","Bonjour",1800,90000,2024-01-20
Multilingual,Helsinki-NLP/opus-mt-en-de,English-German Translation,translation,text,multilingual,mit,English to German translation,true,"Thank you","Danke",1600,80000,2024-01-25
Multilingual,facebook/m2m100_418M,Multilingual Translation,translation,text,multilingual,mit,100+ language translation model,true,"Hello","Hola/Bonjour/Hallo",3500,250000,2024-01-30
Multilingual,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,Multilingual Embeddings,feature-extraction,text,multilingual,mit,Cross-lingual embeddings for 50+ languages,true,"Text in any language","[0.85, 0.92, 0.78, ...]",2800,150000,2024-02-01
Multilingual,facebook/mbart-large-50-many-to-many-mmt,Multilingual Summarization,summarization,text,multilingual,mit,Multilingual text summarization,true,"Long multilingual document","Summary in target language",2200,120000,2024-02-05
Speech_Audio,openai/whisper-large-v2,Whisper Large V2,automatic-speech-recognition,audio,multilingual,mit,High-accuracy speech-to-text for 99 languages,true,"Audio file of speech","Transcribed text",5000,500000,2024-01-15
Speech_Audio,facebook/wav2vec2-large-960h-lv60-self,Wav2Vec2 Large,automatic-speech-recognition,audio,en,mit,Robust speech recognition with noise robustness,true,"Noisy audio recording","Clean transcribed text",3000,200000,2024-01-20
Speech_Audio,pyannote/speaker-diarization,Speaker Diarization,audio-classification,audio,en,mit,Speaker segmentation and identification,true,"Multi-speaker audio","Speaker 1: 0-30s, Speaker 2: 30-60s",2500,150000,2024-01-25
